sc_point_gid,latitude,longitude,country,state,county,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km,capacity_density
4619,48.5330830721606,-118.579807314307,United States,Washington,Ferry,-8,0.578159994506836,1.55873897639355,11.0322662223369,2.696033954620359
4620,48.5560877819766,-118.419244165027,United States,Washington,Ferry,-8,0.415511979675293,1.12737021265232,8.19109739779378,2.7132074832916184
4621,48.5789322198875,-118.258549827212,United States,Washington,Ferry,-8,4.81042803955078,13.0078481304943,0.577279220613579,2.7040936946868936
4622,48.6016161748619,-118.097725064622,United States,Washington,Stevens,-8,6.69312037353516,17.9463748580724,0.614558441227157,2.681316614151004
4623,48.6241394368458,-117.936770645257,United States,Washington,Stevens,-8,9.33532119140625,24.8142807754132,12.3247012947259,2.6581068038940434
4624,48.6465017967733,-117.775687341348,United States,Washington,Stevens,-8,1.89422101593018,5.01110468906515,0.344558441227157,2.6454699039459166
4625,48.6687030465783,-117.61447592934,United States,Washington,Stevens,-8,4.63991374511719,12.5772793902476,10.329259735953,2.710670948028569
4626,48.6907429792059,-117.453137189877,United States,Washington,Pend Oreille,-8,10.9229221801758,30.2664736308576,1.28183766184074,2.770913600921624
4627,48.7126213886231,-117.291671907786,United States,Washington,Pend Oreille,-8,1.58326202087402,4.44943879187089,9.73653895656662,2.8102984428405815
4628,48.7343380698307,-117.130080872063,United States,Washington,Pend Oreille,-8,1.18828789672852,3.4228194664158,23.8096168696999,2.880463123321526
4629,48.7558928188739,-116.968364875858,United States,Idaho,Bonner,-8,3.58930805053711,10.5748498051295,56.8669415205095,2.9462084770202606
4630,48.7772854328541,-116.806524716457,United States,Idaho,Bonner,-8,6.47619323730469,19.0306299601943,37.7538636073763,2.9385519027709877
4631,48.7985157099396,-116.644561195262,United States,Idaho,Boundary,-8,0.0324,0.0926063621520996,24.5450584284727,2.858221054077148
4632,48.8195834493769,-116.482475117784,United States,Idaho,Boundary,-8,0.0609120037078857,0.171240379026638,11.9221233688382,2.811274766921994
4633,48.8404884515022,-116.320267293614,United States,Idaho,Boundary,-8,27.5406565429687,78.700061220603,1.54279220613579,2.857595682144172
4634,48.8612305177519,-116.157938536414,United States,Idaho,Boundary,-8,6.38956812744141,17.9264606700779,16.7022662223369,2.805582523345946
4636,48.9022250539392,-115.832921497808,United States,Montana,Lincoln,-7,5.62086013183594,15.4564567628933,37.9312142547392,2.74983835220336
4637,48.922477132352,-115.670234863904,United States,Montana,Lincoln,-7,10.60498828125,28.9699467718815,56.0068700937601,2.7317283153533896
4638,48.9425654918614,-115.507430591939,United States,Montana,Lincoln,-7,8.27193614501953,22.3852661166296,63.5600194336427,2.70617008209228
4639,48.9624899395722,-115.344509515641,United States,Montana,Lincoln,-7,0.230003984069824,0.609143609023142,53.6178960648045,2.648404598236089
4640,48.9822502837556,-115.181472472698,United States,Montana,Lincoln,-7,22.2418702880859,58.3190053743505,49.4229804898306,2.622036933898932
4979,47.9454898569106,-121.718508619938,United States,Washington,Snohomish,-8,0.156600005149841,0.373578937894852,12.0211688245431,2.3855614662170486
4989,48.1996311926244,-120.136636196586,United States,Washington,Okanogan,-8,0.214451998901367,0.587307910990792,21.7524090758357,2.7386450767517108
4990,48.224181849262,-119.977674973543,United States,Washington,Okanogan,-8,12.6992525756836,34.4550349627736,19.8794025894518,2.713154554367062
4991,48.2485746244667,-119.818575841461,United States,Washington,Okanogan,-8,28.7736739013672,77.4908332530672,10.224915574974,2.6931157112121564
4992,48.2728092995252,-119.659339518205,United States,Washington,Okanogan,-8,28.9070806640625,76.191749863437,2.43639610306789,2.6357469558715816
4993,48.2968856565846,-119.499966725977,United States,Washington,Okanogan,-8,38.7673198242187,100.489616376143,1.10183766184074,2.592121839523329
4994,48.3208034786633,-119.340458191302,United States,Washington,Okanogan,-8,26.9451008789063,69.9322895064932,12.207564927611,2.5953619480133026
4995,48.3445625496629,-119.180814645016,United States,Washington,Okanogan,-8,39.3251044921875,102.288640544543,27.4426947828331,2.6011028289794913
4996,48.3681626543788,-119.021036822258,United States,Washington,Okanogan,-8,14.6236225341797,37.3715185489404,32.5407142674936,2.555558204650878
4997,48.3916035785121,-118.86112546245501,United States,Washington,Okanogan,-8,22.8214454589844,58.4853841631336,36.0555584157183,2.562737941741939
4998,48.4148851086802,-118.70108130931,United States,Washington,Ferry,-8,19.8270894287109,52.6360718136719,31.5544610179245,2.654755353927616
4999,48.4380070324286,-118.540905110789,United States,Washington,Ferry,-8,12.1242237670898,32.7697195391235,22.5752012819714,2.70283031463624
5000,48.4609691382419,-118.38059761911,United States,Washington,Ferry,-8,2.97431095275879,8.12606321696978,26.0761558262665,2.7320826053619367
5001,48.4837712155549,-118.220159590728,United States,Washington,Ferry,-8,9.43752634277344,25.6707649474928,15.3959415460184,2.7200734615325945
5002,48.506413054764,-118.05959178632,United States,Washington,Stevens,-8,5.83735517578125,15.4774354222473,9.78396103067893,2.6514465808868413
5003,48.5288944472385,-117.898894970773,United States,Washington,Stevens,-8,8.27578839111328,21.5550253162499,1.47727922061358,2.6045887470245312
5004,48.5512151853315,-117.73806991317,United States,Washington,Stevens,-8,14.9600790527344,38.4973689187554,9.38933116270241,2.5733399391174245
5005,48.5733750623914,-117.577117386775,United States,Washington,Stevens,-8,2.07107999725342,5.47223866291086,17.5122662223369,2.6422150135040248
5006,48.5953738727728,-117.416038169018,United States,Washington,Pend Oreille,-8,3.60252913513184,9.67278450932146,4.53198051533946,2.6849982738494824
5007,48.6172114118476,-117.254833041477,United States,Washington,Pend Oreille,-8,17.9535412353516,48.6283761618088,9.19388960392957,2.7085673809051447
5008,48.6388874760166,-117.093502789868,United States,Washington,Pend Oreille,-8,11.6613718505859,32.218318704295,22.2268960903134,2.762824058532724
5009,48.6604018627201,-116.932048204025,United States,Idaho,Bonner,-8,18.8136263671875,52.3201457920847,61.6614285349873,2.7809708118438725
5010,48.6817543704493,-116.770470077884,United States,Idaho,Bonner,-8,4.66372825927734,12.9399094005546,31.8601882836948,2.7745847702026447
5011,48.702944798757,-116.608769209471,United States,Idaho,Boundary,-8,3.76725591430664,10.4963357892371,24.769831149948,2.786201953887951
5012,48.7239729482691,-116.446946400878,United States,Idaho,Boundary,-8,2.2151428527832,6.14507123916192,16.7549870017233,2.7741196155548122
5013,48.744838620695504,-116.285002458252,United States,Idaho,Boundary,-8,26.6142052001953,74.2153628624165,0.651837661840736,2.7885620594024685
5014,48.7655416188409,-116.122938191774,United States,Idaho,Boundary,-8,13.1126126220703,36.3900773401083,9.11028570699746,2.7751965522766135
5015,48.786081746616,-115.960754415643,United States,Montana,Lincoln,-7,0.855720023345947,2.35843460297479,21.0515973850393,2.756082057952887
5016,48.8064588090482,-115.79845194806,United States,Montana,Lincoln,-7,10.2768848876953,28.2155044366789,28.1355584157183,2.7455308437347425
5017,48.8266726122928,-115.636031611202,United States,Montana,Lincoln,-7,20.8450711669922,56.9454765509176,47.1612856814886,2.7318437099456756
